heure,niveau,tache
"2023-06-26 13:14:04,289",ERROR,N/A
"2023-06-26 13:14:04,289",ERROR,N/A
"2023-06-26 13:14:04,289",ERROR,N/A
"2023-06-26 13:14:04,289",ERROR,N/A
"2023-06-26 13:14:04,290",ERROR,N/A
"2023-06-26 13:14:04,290",ERROR,N/A
"2023-06-26 13:14:04,290",ERROR,N/A
"2023-06-26 13:14:04,290",ERROR,N/A
"2023-06-26 13:14:04,290",ERROR,N/A
"2023-06-26 13:14:04,290",ERROR,N/A
"2023-06-26 13:14:04,290",ERROR,N/A
"2023-06-26 13:14:04,290",ERROR,N/A
"2023-06-26 13:14:04,290",ERROR,N/A
"2023-06-26 13:14:04,290",ERROR,N/A
"2023-06-26 13:35:58,024",ERROR, Exception: Error reading SSH protocol banner
"2023-06-26 13:35:58,025",ERROR,N/A
"2023-06-26 13:35:58,025",ERROR,N/A
"2023-06-26 13:35:58,025",ERROR,N/A
"2023-06-26 13:35:58,025",ERROR,N/A
"2023-06-26 13:35:58,025",ERROR,N/A
"2023-06-26 13:35:58,025",ERROR,N/A
"2023-06-26 13:35:58,025",ERROR,N/A
"2023-06-26 13:35:58,025",ERROR, ConnectionResetError: 
"2023-06-26 13:35:58,025",ERROR,N/A
"2023-06-26 13:35:58,025",ERROR,N/A
"2023-06-26 13:35:58,025",ERROR,N/A
"2023-06-26 13:35:58,025",ERROR,N/A
"2023-06-26 13:35:58,025",ERROR,N/A
"2023-06-26 13:35:58,025",ERROR,N/A
"2023-06-26 13:35:58,025",ERROR,N/A
"2023-06-26 13:35:58,025",ERROR,N/A
"2023-06-26 13:35:58,025",ERROR, paramiko.ssh_exception.SSHException: Error reading SSH protocol banner
"2023-06-26 13:35:58,025",ERROR,N/A
"2023-06-26 13:35:58,498",ERROR,N/A
"2023-06-26 13:35:58,498",ERROR,N/A
"2023-06-26 13:35:58,498",ERROR,N/A
"2023-06-26 13:35:58,498",ERROR,N/A
"2023-06-26 13:35:58,498",ERROR,N/A
"2023-06-26 13:35:58,498",ERROR,N/A
"2023-06-26 13:35:58,498",ERROR,N/A
"2023-06-26 13:35:58,499",ERROR,N/A
"2023-06-26 13:35:58,499",ERROR,N/A
"2023-06-26 13:35:58,499",ERROR,N/A
"2023-06-26 13:35:58,499",ERROR,N/A
"2023-06-26 13:35:58,499",ERROR,N/A
"2023-06-26 13:35:58,499",ERROR,N/A
"2023-06-26 13:35:58,499",ERROR,N/A
"2023-06-26 13:35:58,499",ERROR,N/A
"2023-06-26 13:35:58,499",ERROR,N/A
"2023-06-26 13:35:58,499",ERROR,N/A
"2023-06-26 13:35:58,499",ERROR,N/A
"2023-06-26 13:35:58,499",ERROR,N/A
"2023-06-26 13:35:58,667",ERROR,N/A
"2023-06-26 13:35:58,667",ERROR,N/A
"2023-06-26 13:35:58,667",ERROR,N/A
"2023-06-26 13:35:58,667",ERROR,N/A
"2023-06-26 13:35:58,667",ERROR,N/A
"2023-06-26 13:35:58,667",ERROR,N/A
"2023-06-26 13:35:58,667",ERROR,N/A
"2023-06-26 13:35:58,667",ERROR,N/A
"2023-06-26 13:35:58,667",ERROR,N/A
"2023-06-26 13:35:58,667",ERROR,N/A
"2023-06-26 13:35:58,667",ERROR,N/A
"2023-06-26 13:35:58,667",ERROR,N/A
"2023-06-26 13:35:58,667",ERROR,N/A
"2023-06-26 13:35:58,667",ERROR,N/A
"2023-06-26 13:35:58,667",ERROR,N/A
"2023-06-26 13:35:58,667",ERROR,N/A
"2023-06-26 13:35:58,667",ERROR,N/A
"2023-06-26 13:35:58,667",ERROR,N/A
"2023-06-26 13:35:58,667",ERROR,N/A
"2023-06-26 13:35:59,271",ERROR, Exception: Error reading SSH protocol banner
"2023-06-26 13:35:59,271",ERROR,N/A
"2023-06-26 13:35:59,271",ERROR,N/A
"2023-06-26 13:35:59,271",ERROR,N/A
"2023-06-26 13:35:59,271",ERROR,N/A
"2023-06-26 13:35:59,271",ERROR,N/A
"2023-06-26 13:35:59,271",ERROR,N/A
"2023-06-26 13:35:59,272",ERROR,N/A
"2023-06-26 13:35:59,272",ERROR, ConnectionResetError: 
"2023-06-26 13:35:59,272",ERROR,N/A
"2023-06-26 13:35:59,272",ERROR,N/A
"2023-06-26 13:35:59,272",ERROR,N/A
"2023-06-26 13:35:59,272",ERROR,N/A
"2023-06-26 13:35:59,272",ERROR,N/A
"2023-06-26 13:35:59,272",ERROR,N/A
"2023-06-26 13:35:59,272",ERROR,N/A
"2023-06-26 13:35:59,272",ERROR,N/A
